Nombre,Tipolugar,Provincia,Ciudad,Localizacion,Latitud,Longuitud
RÍO SANTA BÁRBARA,RIO,AZUAY,GUALACEO,SE UBICA  EN EL CANTÓN DE GULACEO,-29.047956,-78.778787
REPRESA DE PAUTE,REPRESA,AZUAY,CUENCA,,-2.586111,-78.558333
EL TURI,IGLESIA,AZUAY,CUENCA,,-2.9223567,-79.0103607
CASCADA IRHA,CASACADA,AZUAY,CUENCA,SE ENCUENTRA UBICADO A 5 KM DEL CANTÓN GIRÓN ESTÁ UBICADO A 45 KILÓMETROS DE CUENCA,,
PARQUE NACIONAL CAJAS,PARQUE,AZUAY,CUENCA,,-2.8487368,-79.2537609
RESERVA FAUNÍSTICA EL CHIMBORAZO,RESERVA,BOLÍVAR,RIOBAMBA,,-1.51123,-78.8609122
COMPLEJO TURÍSTICO LAS COCHAS,ATRACTIVO TURISTICO,BOLÍVAR,GUARANDA,VIA GUARANDA - GUANUJO - LAS COCHAS,,
SANTUARIO DE LA VIRGEN DEL HUAYCO,IGLESIA,BOLÍVAR,SAN JOSE DE CHIMBO,,-1.6700716,-79.0607285
CUEVAS DE TIAGUA,MONTAÑA,BOLÍVAR,GUARANDA,"LAS CUEVAS DE TIAGUA SE ENCUENTRAN A 40 MINUTOS DE LA PARROQUIA SALINAS,GUARANDA",,
VOLCAN CARIHUAIRAZO,VOLCAN,BOLÍVAR,RIOBAMBA,,-1.4043069,-78.754549
COMPLEJO TURÍSTICO INGAPIRCA,COMPLEJO ARQUEOLOGICO ,CAÑAR,CAÑAR,A 16KM DE LA CIUDAD DE CAÑAR,-2.548985,-78.8714679
LAGUNAS DE CULEBRILLAS,LAGUNA,CAÑAR,CAÑAR,,-2.4230556,-78.8597222
MUSEO DE GUANTUG,MUSEO,CAÑAR,CAÑAR,,,
CATEDRAL DE AZOGUES,IGLESIA,CAÑAR,AZOGUES,,-2.7381951,-78.8472003
CEMENTERIO DE TULCÁN,CEMENTERIO,CARCHI,TULCÁN,,0.8200078,-77.7148041
RESERVA ECOLÓGICA EL ÁNGEL,RESERVA,CARCHI,TULCÁN,,0.82152,-77.73217
GRUTA DE LA PAZ,SANTUARIO NACIONAL,CARCHI,MONTÚFAR,,0.5004223,-77.842803
LAGUNAS VERDES,LAGUNA,CARCHI,TULCÁN,A 40 KILÓMETROS DE TULCÁN,0.8150608,-77.9357521
RESERVA AWA,RESERVA BIANTROPOLÓGICA,CARCHI,TULCÁN,A 145 KM DE TULCÁN.,1.0935308,-78.4524591
IGLESIA DE BALBANERA,IGLESIA,CHIMBORAZO,COLTA,"COLTA, A 8 KM DE RIOBAMBA.",-1.7234848,-78.7625863
LAGUNA DEL ATILLO,LAGUNA,CHIMBORAZO,GUAMOTE,"CANTÓN GUAMOTE, A 90 KM DE RIOBAMBA",-2.196173,-78.5291706
LAGUNA DE COLTA,LAGUNA,CHIMBORAZO,RIOBAMBA,A 20 KM. DE LA CIUDAD DE RIOBAMBA Y A 3 KM. DE LA CABECERA CANTONAL CAJABAMBA,-1.7375,-78.7558333
LA NARIZ DEL DIABLO,MONTAÑA,CHIMBORAZO,CHIMBORAZO,,-2.2437094,-78.8779638
LAGUNA DE AZOGOCHE,LAGUNA,CHIMBORAZO,ALAUSI,"EN ALAUSÍ, A 90 KM DE RIOBAMBA.",-2.2518863,-78.5916866
PARQUE NACIONAL DE COTOPAXI,PARQUE NACIONAL,COTOPAXI,LATACUNGA,,-0.7007416,-78.4297187
LAGUNA DE QUILATOA,LAGUNA,COTOPAXI,LATACUNGA,"A 66 KILÓMETROS AL SUR DE LA CIUDAD DE LATACUNGA,",-0.8583134,-78.9033627
PARQUE NACIONAL ILINIZAS,RESERVA ECOLOGICA,COTOPAXI,LATACUNGA.,,-0.7022878,-79.0645056
SANTUARIO DE CUICUNO,SANTUARIO NACIONAL,COTOPAXI,LATACUNGA.,,-0.8035306,-78.6684971
ARCHIPIÉLAGO DE JAMBELÍ,ARCHIPIELAGO,EL ORO,SANTA ROSA,,-3.36556,-80.1108
BALNEARIO LA CHOCHA,BALNEARIO,EL ORO,CASACAY,,-3.3228304,-79.7215175
ISLA SANTA CLARA,ISLA,EL ORO,PUERTO BOLIVAR,A 43 KILÓMETROS AL OESTE DE PUERTO BOLÍVAR,-3.1713787,-80.4342251
CERRO DOS ARCOS,CERRO,EL ORO,ZARUMA,PARROQUIA MANÚ,-3.564167,-79.469444
CANTÓN CHILLA,ATRACTIVO TURISTICO,EL ORO,CHILLA,,-3.4576431,-79.5772008
PLAYA DE ORO,PLAYA,ESMERALDAS,ESMERALDAS,,0.865753,-78.801299
RESERVA ECOLÓGICA CAYAMBE COCA,RESERVA ECOLOGICA,ESMERALDAS,ESMERALDAS,,-0.3253796,-78.1479586
RESERVA ECOLÓGICA COTACACHI CAYAPAS,RESERVA ECOLOGICA,ESMERALDAS,COTACHACHI,PARROQUIA QUIROGA,0.583333,-78.683333
LAGO DE MUISNE,LAGO,ESMERALDAS,MUISNE,,0.6067,-80.0183
PLAYA LAS PEÑAS,PLAYA,ESMERALDAS,ELOY ALFARO,"PARROQUIA LA TOLA, CANTÓN ELOY ALFARO",1.086367,-79.157314
ISLA SANTA CRUZ,ISLA,GALÁPAGOS,PUERTO AYORA,,-0.6393592,-90.3371889
ISLA ISABELA,ISLA,GALÁPAGOS,PUERTO VILLAMIL,,-0.8292374,-91.135302
ISLA BARTOLOMÉ,ISLA,GALÁPAGOS,,,-0.2842964,-90.550602
ISLA FERNANDINA,ISLA,GALÁPAGOS,,,-0.4123801,-91.4821482
ISLA SAN CRISTÓBAL,ISLA,GALÁPAGOS,PUERTO BAQUERIZO MORENO,,-0.8674715,-89.436391
EL FARO,ATRACTIVO TURISTICO,GUAYAS,GUAYAQUIL,,-2.1810317,-79.8753664
PARQUE HISTÓRICO DE GUAYAQUIL,PARQUE,GUAYAS,GUAYAQUIL,,-2.1451609,-79.8700969
HACIENDA JAMBELÍ,RESERVA ECOLOGICA,GUAYAS,NARANJAL,"A 16 KM DEL CANTÓN NARANJAL, EN LA VÍA A MACHALA, EXACTAMENTE EN BALAO CHICO.",,
MALECÓN 2000,PARQUE,GUAYAS,GUAYAQUIL,,-2.1937369,-79.8797778
MUSEO HISTÓRICO DE ABDÓN CALDERÓN,MUSEO,GUAYAS,GUAYAQUIL,,-2.2153454,-79.8872573
OTAVALO,ATRACTIVO TURISTICO,IMBABURA,OTAVALO,,0.2343005,-78.2610672
LAGO DE SAN PABLO,LAGUNA,IMBABURA,IBARRA,,0.2059669,78.219132
YAHUARCOCHA,LAGUNA,IMBABURA,IBARRA,PARROQUIA LA DOLOROSA DEL PRIORATO,0.3719409,-78.1005579
IBARRA,ATRACTIVO TURISTICO,IMBABURA,IBARRA,,0.3391763,-78.1222336
VALLE DEL CHOTA,ATRACTIVO TURISTICO,IMBABURA,IBARRA,A 35 KM. DE IBARRA,0.466667,-78.066667
BASÍLICA DEL CISNE,SANTURARIO NACIONAL,LOJA,LOJA,PARROQUIA EL CISNE,-3.851045,-79.426496
PARQUE PODOCARPUS,PARQUE NACIONAL,LOJA,LOJA,,-4.283333,-79
VILCABAMBA,ATRACTIVO TURISTICO,LOJA,VILCAMBABA,,-4.2623285,-79.2253776
